filename,Country,VST,CEFR,CEFR_Number,SUBTLEXus_Freq_Log_CW_TAALES,COCA_magazine_lemma_frequency_Log_CW_TAALES,All_AWL_Normed_TAALES,Brysbaert_Concreteness_Combined_CW_TAALES,LD_Mean_RT_CW_TAALES,mattr50_aw_TAALED,hdd42_aw_TAALED,mtld_original_aw
W_TWN_100.txt,TWN,37,B1_2,3,3.767,2.387065945,0.039506173,3.036445498,616.4571698,0.779512195,0.824021739,71.96305407
W_KOR_138.txt,KOR,45,B2_0,4,3.776376325,2.493307148,0.050682261,3.11513986,615.7027798,0.728487805,0.824469304,48.74328196
W_THA_383.txt,THA,28,B1_1,2,3.945296564,2.476168162,0.04518664,3.113448276,614.8194138,0.679360731,0.78419091,44.20431135
W_THA_340.txt,THA,46,B1_2,3,3.882870996,2.463758272,0.060465116,3.170909091,620.4021304,0.725849582,0.799588088,46.27550566
W_JPN_376.txt,JPN,24,B1_1,2,3.825517695,2.428952594,0.037861915,3.128024691,616.9541494,0.791111111,0.834256632,70.93412117
W_THA_368.txt,THA,28,B1_1,2,3.877590377,2.492852503,0.038374718,2.86707113,628.3928033,0.750778098,0.80378299,57.37258584
W_THA_195.txt,THA,10,A2_0,1,4.009806478,2.54475305,0.023310023,3.074578313,615.6204472,0.774651163,0.831271448,63.7398995
W_THA_156.txt,THA,41,B1_2,3,4.165323605,2.656899101,0.028776978,3.024851064,604.3262771,0.722463343,0.788036306,48.36913095
W_CHN_026.txt,CHN,16,A2_0,1,3.837165351,2.482614259,0.023094688,3.084517544,620.5572368,0.686442577,0.760341866,39.03659476
W_THA_131.txt,THA,26,B1_1,2,4.212440611,2.656164566,0.018306636,2.955042735,602.6107895,0.762099125,0.806377362,59.19634118
W_CHN_041.txt,CHN,15,A2_0,1,4.01652735,2.575282433,0.020689655,3.135798319,606.09375,0.733846154,0.81376102,55.87123061
W_JPN_113.txt,JPN,20,B1_1,2,3.98317026,2.559418339,0.015384615,2.966911765,614.6795113,0.762470309,0.812085723,66.64181413
W_HKG_015.txt,HKG,39,B2_0,4,3.561085821,2.356347542,0.070484581,3.128565891,624.8452734,0.698891967,0.795107125,50.48953508
W_CHN_082.txt,CHN,26,B1_1,2,3.786023077,2.451647209,0.051219512,3.015940171,610.7587069,0.769309309,0.835331762,57.94966655
W_JPN_339.txt,JPN,33,B1_1,2,3.856448606,2.499497565,0.036281179,3.260311284,607.3597992,0.690705882,0.806414655,45.10107862
W_JPN_311.txt,JPN,28,A2_0,1,3.850848511,2.394587965,0.047029703,3.065964912,614.166087,0.738113208,0.803695025,46.31858614
W_KOR_177.txt,KOR,46,B2_0,4,3.937265138,2.560739025,0.038369305,2.925251142,614.3736449,0.759212121,0.806105172,66.89847483
W_SIN_098.txt,SIN,41,B1_2,3,3.680997744,2.388821107,0.042635659,3.23594697,620.665,0.732389791,0.795919757,56.01852864
W_THA_253.txt,THA,30,B1_1,2,3.665379137,2.347856758,0.045248869,3.111413043,626.7593431,0.773782991,0.845003571,73.81792305
W_SIN_113.txt,SIN,42,B1_2,3,3.339128912,2.173444999,0.06500956,3.174479167,636.7264138,0.778693694,0.829712329,72.67758559
W_THA_284.txt,THA,31,B1_1,2,4.017389823,2.609098896,0.038636364,3.063584071,622.0145133,0.718555556,0.780353977,48.60159521
W_KOR_017.txt,KOR,41,B1_1,2,3.509228448,2.280953997,0.035971223,3.248898305,616.5178696,0.715948553,0.821606532,52.68149883
W_JPN_073.txt,JPN,28,B1_2,3,3.94700995,2.519797378,0.020642202,2.983432836,606.6238384,0.750519878,0.802722156,60.94424741
W_JPN_067.txt,JPN,30,B1_2,3,3.942858911,2.375308649,0.029680365,2.868712871,617.1001485,0.695654596,0.764338416,45.63944689
W_JPN_098.txt,JPN,24,A2_0,1,3.860404147,2.466804321,0.041062802,3.119004525,613.5395794,0.663815789,0.790635996,39.90150731
